City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,73.06,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
2,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
3,Champerico,GT,81.36,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
4,Inirida,CO,74.14,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
5,Villarrica,PY,70.74,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
14,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
16,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
17,Mitu,CO,71.13,overcast clouds,1.1983,-70.1733,
18,Codrington,AU,79.12,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
21,New Norfolk,AU,72.72,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
24,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
31,Atuona,PF,79.09,scattered clouds,-9.8,-139.0333,Villa Enata
32,Mogadishu,SO,76.66,overcast clouds,2.0371,45.3438,Hotel Juba
34,Alugan,PH,81.43,overcast clouds,12.2188,125.4808,JM Lodge
35,Puerto Ayora,EC,75.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Busselton,AU,71.87,broken clouds,-33.65,115.3333,Observatory Guest House
37,Hithadhoo,MV,81.64,clear sky,-0.6,73.0833,Scoop Guest House
39,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Hermanus,ZA,69.91,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
44,Port Elizabeth,ZA,69.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
47,Port Alfred,ZA,70.52,broken clouds,-33.5906,26.891,The Halyards Hotel
53,Kupang,ID,83.68,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
57,Isangel,VU,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
59,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Salalah,OM,71.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
62,Biak,ID,83.12,broken clouds,-0.9131,122.8766,Penginapan Kim
