City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,73.06,47,0,1.99,clear sky
1,Nanortalik,GL,60.1432,-45.2371,9.14,61,100,13.76,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,70.12,70,0,1.01,clear sky
3,Champerico,GT,14.3,-91.9167,81.36,64,27,1.23,scattered clouds
4,Inirida,CO,3.8653,-67.9239,74.14,94,79,1.83,broken clouds
5,Villarrica,PY,-25.75,-56.4333,70.74,98,100,3.74,overcast clouds
6,Oyama,JP,36.3,139.8,45.61,26,28,10.11,scattered clouds
7,Torbay,CA,47.6666,-52.7314,45.75,94,100,18.41,moderate rain
8,Jamestown,US,42.097,-79.2353,12.33,72,0,0.0,clear sky
9,Badarwas,IN,24.9667,77.5667,49.98,59,0,5.53,clear sky
10,Nikolskoye,RU,59.7035,30.7861,26.87,96,100,5.12,overcast clouds
11,Berlevag,NO,70.8578,29.0864,24.39,83,57,25.84,broken clouds
12,Hemsedal,NO,60.8629,8.5534,25.93,84,12,14.47,few clouds
13,Norman Wells,CA,65.282,-126.8329,-18.36,69,40,2.3,scattered clouds
14,Carnarvon,AU,-24.8667,113.6333,82.47,69,75,14.97,broken clouds
15,Viedma,AR,-40.8135,-62.9967,55.85,64,0,6.98,clear sky
16,Kununurra,AU,-15.7667,128.7333,85.98,74,100,0.0,overcast clouds
17,Mitu,CO,1.1983,-70.1733,71.13,96,96,1.92,overcast clouds
18,Codrington,AU,-38.2667,141.9667,79.12,37,66,9.75,broken clouds
19,Bluff,NZ,-46.6,168.3333,59.81,59,14,11.05,few clouds
20,Guerrero Negro,MX,27.9769,-114.0611,61.41,51,0,14.27,clear sky
21,New Norfolk,AU,-42.7826,147.0587,72.72,39,0,1.99,clear sky
22,Chopovychi,UA,50.8332,28.9533,31.84,83,99,15.95,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,59.49,40,22,4.52,few clouds
24,Rikitea,PF,-23.1203,-134.9692,79.57,67,100,13.73,overcast clouds
25,Brodokalmak,RU,55.5748,62.082,7.7,93,100,5.12,overcast clouds
26,Muskogee,US,35.5834,-95.3336,39.74,60,0,8.05,clear sky
27,Yellowknife,CA,62.456,-114.3525,-15.59,86,20,5.75,few clouds
28,Saint George,US,37.1041,-113.5841,52.39,22,0,0.0,clear sky
29,Chagoda,RU,59.164,35.3285,13.3,95,100,7.36,light snow
30,San Ramon,US,37.7799,-121.978,59.49,56,5,2.48,clear sky
31,Atuona,PF,-9.8,-139.0333,79.09,75,30,21.05,scattered clouds
32,Mogadishu,SO,2.0371,45.3438,76.66,81,100,13.71,overcast clouds
33,Batesville,US,35.7698,-91.641,30.61,69,0,6.91,clear sky
34,Alugan,PH,12.2188,125.4808,81.43,72,100,18.92,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,23,3.0,few clouds
36,Busselton,AU,-33.65,115.3333,71.87,68,71,14.18,broken clouds
37,Hithadhoo,MV,-0.6,73.0833,81.64,73,2,6.71,clear sky
38,Hondo,JP,32.45,130.2,42.75,50,98,13.53,overcast clouds
39,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,99,18.19,light rain
40,Hermanus,ZA,-34.4187,19.2345,69.91,90,49,9.86,scattered clouds
41,Ushuaia,AR,-54.8,-68.3,49.66,57,20,18.41,few clouds
42,San Patricio,US,28.017,-97.5169,45.01,53,0,7.11,clear sky
43,Verkhoyansk,RU,67.5447,133.385,-39.6,99,95,0.98,overcast clouds
44,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,75,17.27,broken clouds
45,Waddan,LY,29.1614,16.139,54.77,26,77,5.59,broken clouds
46,Dikson,RU,73.5069,80.5464,-20.74,100,98,3.74,overcast clouds
47,Port Alfred,ZA,-33.5906,26.891,70.52,86,58,25.14,broken clouds
48,Alakurtti,RU,66.9672,30.3491,18.63,95,100,7.65,light snow
49,Mar Del Plata,AR,-38.0023,-57.5575,63.09,75,75,1.99,broken clouds
