City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodinsk,RU,2022-02-05 04:14:08,58.6881,99.1844,19.24,92,100,7.49
1,Teya,RU,2022-02-05 04:14:09,60.3778,92.6267,19.49,90,100,8.81
2,Arraial Do Cabo,BR,2022-02-05 04:14:09,-22.9661,-42.0278,75.65,88,100,21.27
3,New Norfolk,AU,2022-02-05 04:14:09,-42.7826,147.0587,70.92,46,95,1.99
4,Rikitea,PF,2022-02-05 04:09:59,-23.1203,-134.9692,79.05,68,5,8.55
5,Puerto Ayora,EC,2022-02-05 04:14:10,-0.7393,-90.3518,74.55,93,48,3.0
6,Redcliffe,AU,2022-02-05 04:14:10,-27.2307,153.0973,83.14,50,75,13.8
7,Ushuaia,AR,2022-02-05 04:11:28,-54.8,-68.3,44.26,87,0,5.75
8,Vaini,TO,2022-02-05 04:14:10,-21.2,-175.2,77.16,94,100,18.41
9,Nouakchott,MR,2022-02-05 04:14:11,18.0858,-15.9785,67.93,36,0,9.98
10,Rocha,UY,2022-02-05 04:14:11,-34.4833,-54.3333,65.98,96,60,3.76
11,Pangnirtung,CA,2022-02-05 04:14:12,66.1451,-65.7125,-26.37,98,100,2.1
12,Carballo,ES,2022-02-05 04:14:12,43.213,-8.691,50.02,90,99,7.72
13,Georgetown,MY,2022-02-05 04:13:42,5.4112,100.3354,87.73,70,20,8.05
14,Punta Arenas,CL,2022-02-05 04:12:55,-53.15,-70.9167,46.51,71,0,8.05
15,Kaitangata,NZ,2022-02-05 04:14:12,-46.2817,169.8464,56.8,56,17,8.12
16,Pakxan,LA,2022-02-05 04:14:13,18.3778,103.6601,77.85,42,77,5.14
17,Pak Phanang,TH,2022-02-05 04:14:13,8.3511,100.202,79.07,73,69,17.25
18,Thompson,CA,2022-02-05 04:14:14,55.7435,-97.8558,-31.9,100,10,2.89
19,Japura,ID,2022-02-05 04:14:14,-0.3167,102.35,85.84,62,100,3.24
20,Yuyao,CN,2022-02-05 04:14:15,30.05,121.1494,45.25,62,18,8.5
21,Aklavik,CA,2022-02-05 04:14:15,68.2191,-135.0107,-25.33,89,6,18.41
22,Enterprise,US,2022-02-05 04:11:37,36.0252,-115.2419,47.64,30,0,5.99
23,Marsa Matruh,EG,2022-02-05 04:14:15,31.3525,27.2453,53.42,69,18,14.88
24,Norfolk,US,2022-02-05 04:13:22,42.1668,-71.2495,26.94,92,100,6.91
25,Fortuna,US,2022-02-05 04:14:16,40.5982,-124.1573,46.92,93,100,0.0
26,Airai,TL,2022-02-05 04:14:16,-8.9266,125.4092,70.25,76,97,2.86
27,Lebu,CL,2022-02-05 04:14:17,-37.6167,-73.65,57.33,87,62,17.81
28,Port Alfred,ZA,2022-02-05 04:14:17,-33.5906,26.891,69.12,83,95,10.71
29,Atuona,PF,2022-02-05 04:14:17,-9.8,-139.0333,78.73,77,20,15.84
30,Oneonta,US,2022-02-05 04:12:39,42.4529,-75.0638,12.22,99,100,2.8
31,Vardo,NO,2022-02-05 04:14:18,70.3705,31.1107,21.29,90,100,25.39
32,Nador,MA,2022-02-05 04:14:18,35.174,-2.9287,61.05,48,0,10.36
33,Cape Town,ZA,2022-02-05 04:11:16,-33.9258,18.4232,65.88,69,0,1.01
34,Alamosa,US,2022-02-05 04:14:19,37.4695,-105.87,0.91,92,0,5.75
35,Saint-Francois,FR,2022-02-05 04:14:19,46.4154,3.9054,38.41,92,75,4.61
